# dataset_version=human-presence-v1
# source_label=Jonathan's Space Report orbital population time history
# source_url=https://planet4589.org/space/astro/web/pop.html
# accessed_on=2026-07-16
# complete_through_utc=2026-01-01T00:00:00Z
timestamp_utc,orbit_population
2024-01-01T00:00:00Z,10
2024-01-18T21:49:11Z,14
2024-01-26T17:42:05Z,14
2024-01-26T17:56:00Z,14
2024-02-09T13:30:00Z,10
2024-03-04T03:53:38Z,14
2024-03-12T09:47:44Z,10
2024-03-23T12:36:10Z,13
2024-04-06T07:17:47Z,10
2024-04-25T12:59:00Z,13
2024-04-30T09:46:08Z,10
2024-05-19T14:35:18Z,10
2024-05-19T14:45:02Z,10
2024-06-05T14:52:15Z,12
2024-06-08T15:26:30Z,12
2024-06-08T15:40:31Z,12
2024-08-29T13:07:11Z,12
2024-08-29T13:17:12Z,12
2024-09-10T09:23:49Z,16
2024-09-11T16:23:12Z,19
2024-09-15T07:36:54Z,15
2024-09-23T11:59:22Z,12
2024-09-28T17:17:20Z,14
2024-10-25T07:29:02Z,10
2024-10-29T20:27:34Z,13
2024-11-03T17:24:27Z,10
2024-11-22T15:30:09Z,10
2024-11-22T15:40:14Z,10
2025-01-01T00:00:00Z,10
2025-02-25T15:49:18Z,10
2025-02-25T15:59:19Z,10
2025-03-14T23:03:48Z,14
2025-03-18T21:57:07Z,10
2025-04-01T01:46:00Z,14
2025-04-04T16:19:28Z,10
2025-04-08T05:47:15Z,13
2025-04-14T13:30:07Z,13
2025-04-14T13:40:21Z,13
2025-04-20T01:20:35Z,10
2025-04-24T09:17:31Z,13
2025-04-30T05:08:13Z,10
2025-05-31T13:39:18Z,10
2025-05-31T13:49:18Z,10
2025-06-25T06:31:53Z,14
2025-06-29T14:40:03Z,14
2025-06-29T14:50:10Z,14
2025-07-15T09:31:36Z,10
2025-08-01T15:43:42Z,14
2025-08-03T12:42:23Z,14
2025-08-03T12:52:28Z,14
2025-08-09T15:33:40Z,10
2025-10-08T13:40:36Z,10
2025-10-08T13:50:48Z,10
2025-10-31T15:44:46Z,13
2025-11-14T08:40:31Z,10
2025-11-27T09:27:57Z,13
2025-12-09T05:03:33Z,10
2025-12-20T14:15:07Z,10
2025-12-20T14:25:26Z,10
2026-01-01T00:00:00Z,10
